FastInstructions,practicetext,practicecorrect,Statement,Correct,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross1.started,fixcross1.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,scaretone.started,scaretone.stopped,JFALSE.started,JFALSE.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,participant,Enter the ID from Qualtrics into the 'Participant' box above. Leave this box blank.,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press F to Continue",,,,,0,0,0,0,,,,,,,,,19.76500116000534,None,f,0.39080044999718666,19.76500116000534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press F to continue",,,,,0,1,1,1,,,,,,,,,20.21407018500031,None,f,0.323735501995543,20.21407018500031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,,,0,2,2,2,,,,,,,,,20.580847000004724,None,f,0.38309752198983915,20.580847000004724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press 'F' to continue.",,,,,0,3,3,3,,,,,,,,,20.99757151302765,None,f,0.4512084499874618,20.99757151302765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,,,0,4,4,4,,,,,,,,,21.49728492301074,None,f,0.3715556150127668,21.49728492301074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,A truck is an animal,j,,,,,,,0,0,0,5,,,,,,,,,,,21.947795739019057,22.39694001400494,22.414673208026215,None,j,1,2.6608124880003743,22.414673208026215,None,None,None,21.97991498801275,None,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,Jupiter is the planet we live on,j,,,,,,,0,1,1,6,,,,,,,,,,,25.13096301801852,25.580259324022336,25.6142610310053,None,j,1,4.225962822994916,25.6142610310053,None,28.61480593820452,28.813922388013452,25.16510150700924,None,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,The Earth is a star,j,,,,,,,0,2,2,7,,,,,,,,,,,29.881263976014452,30.348467711010017,30.365749235003022,None,j,1,2.6324332450167276,30.365749235003022,None,None,None,29.914427092007827,None,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,Humans cannot eat food,j,,,,,,,0,3,3,9,,,,,,,,,,,33.031486305000726,33.48146824201103,33.51525295700412,None,j,1,0.06186674101627432,33.51525295700412,None,None,None,33.06502924099914,None,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,A clock is used to tell time,f,,,,,,,0,4,4,3,,,,,,,,,,,33.598482812027214,34.0476551320171,34.08197243302129,None,j,0,0.002979980024974793,34.08197243302129,None,None,None,33.63163335301215,None,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,Dinosaurs are extinct,f,,,,,,,0,5,5,1,,,,,,,,,,,34.1321705620212,34.58177267201245,34.59841020300519,None,j,0,0.22353608399862424,34.59841020300519,None,None,None,34.14839292000397,None,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,Magenta is a color,f,,,,,,,0,6,6,2,,,,,,,,,,,34.86521983001148,35.31540332001168,35.33220714601339,None,j,0,0.2286937989993021,35.33220714601339,None,None,None,34.88139567000326,None,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,Mississippi is a country,j,,,,,,,0,7,7,8,,,,,,,,,,,35.58113058601157,36.03208945400547,36.06630057102302,None,j,1,0.13546382199274376,36.06630057102302,None,None,None,35.614770898013376,None,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,Humans cannot breathe water,f,,,,,,,0,8,8,4,,,,,,,,,,,36.24782210000558,36.69938331100275,36.715496733027976,None,j,0,0.30428177700378,36.715496733027976,None,None,None,36.2818144550256,None,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,A circle is a shape,f,,,,,,,0,9,9,0,,,,,,,,,,,37.065877553017344,37.53172618302051,37.53172618302051,None,j,0,0.09806920099072158,37.53172618302051,None,None,None,37.08514427600312,None,,,,,,,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.69833118101815,None,f,1.4123699070187286,40.66504608801915,None,,,,,,,,,,,,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,,,An inch is endless,j,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,42.198384499002714,42.64908027401543,42.66527495501214,None,j,1,1.949378560995683,42.66527495501214,None,None,None,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,,,A minute is finite,f,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,44.64897327800281,45.098677497007884,45.13191267600632,50.13328627002193,None,0,,45.13191267600632,50.63266110300901,48.132111570209965,None,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
,,,The president of the United States is Oprah,j,,,,,,,,,0,2,2,148,,,,,,,,,,,,,,,,,,,,,,,,,,54.69925571701606,55.14919508100138,55.19898470901535,None,f,0,0.9226319640001748,55.19898470901535,None,None,None,0,,2022_Feb_10_1641,SCThesis2022Fast,2021.2.3,59.97561367742548,
