INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys,endstudykey.rt
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,7.1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,3.68437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,2.433965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,j,1,1.623735,space,1.548945,0,0,0,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,f,0,1.42906,space,1.08011,0,1,1,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,j,1,1.22568,space,0.89279,0,2,2,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,f,1,1.216055,space,0.581845,0,3,3,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,f,1,1.078095,space,0.55007,0,4,4,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,f,1,1.15627,space,0.547515,0,5,5,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,j,1,0.957515,space,0.52914,0,6,6,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,f,0,1.059585,space,0.499535,0,7,7,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,f,1,0.97588,space,0.458745,0,8,8,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,j,0,1.214235,space,0.89382,0,9,9,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,1.691305,,,,,,,,space,2.15413,,0,,0,0,0,46,1,The number five cannot always be further divided,j,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.86509,,,,,,,,,,j,1,,0,1,1,78,1,Hammers are alive,j,0.90565,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,1.361625,,,,,,,,,,j,1,,0,2,2,14,1,An inch cannot always be further divided,j,2.41055,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.631725,,,,,,,,,,j,1,,0,3,3,11,1,An inch is endless,j,1.11676,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.628545,,,,,,,,,,j,1,,0,4,4,66,1,Music has a molecular structure,j,1.294935,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.535375,,,,,,,,,,j,1,,0,5,5,127,1,A zebra is used to write,j,1.10726,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.394545,,,,,,,,,,j,1,,0,6,6,82,1,Stones reproduce,j,1.153385,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.3978,,,,,,,,,,j,1,,0,7,7,87,1,Dreams have a molecular structure,j,1.30312,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.657375,,,,,,,,,,f,1,,0,8,8,90,1,A triangle is not an animal,f,1.22011,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.38083,,,,,,,,,,j,1,,0,9,9,116,1,Fish cannot swim in the ocean,j,1.39659,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.606815,,,,,,,,,,j,1,,0,10,10,64,1,Echoes are composed of matter,j,1.281875,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,1.15186,,,,,,,,,,j,1,,0,11,11,119,1,A motorcycle is a person,j,1.55774,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.58945,,,,,,,,,,f,1,,0,12,12,100,1,A truck is a vehicle,f,1.44787,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,1.43841,,,,,,,,,,j,0,,0,13,13,4,1,A minute cannot go on forever,f,2.322985,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.93357,,,,,,,,,,j,0,,0,14,14,76,1,Pollen has a molecular structure,f,1.28008,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.91917,,,,,,,,,,f,1,,0,15,15,2,1,A minute has an end,f,1.487655,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.554015,,,,,,,,,,j,1,,0,16,16,109,1,A square is a color,j,1.12987,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.68526,,,,,,,,,,j,1,,0,17,17,28,1,Space cannot go on forever,j,1.674695,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.78953,,,,,,,,,,f,1,,0,18,18,105,1,There are fifty states in the United States,f,1.07818,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.82911,,,,,,,,,,f,1,,0,19,19,21,1,Time can go on forever,f,1.71178,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.802815,,,,,,,,,,f,1,,0,20,20,15,1,An inch can be always further divided,f,2.475335,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.829245,,,,,,,,,,j,0,,0,21,21,72,1,Mushrooms reproduce,f,0.85616,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.369705,,,,,,,,,,j,1,,0,22,22,122,1,The Earth is a star,j,0.623965,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.561025,,,,,,,,,,j,1,,0,23,23,30,1,Space cannot always be further divided,j,1.573845,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.330355,,,,,,,,,,j,0,,0,24,24,19,1,Time is endless,f,1.48569,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.39098,,,,,,,,,,j,0,,0,25,25,44,1,The number five cannot go on forever,f,0.669245,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.28954,,,,,,,,,,j,1,,0,26,26,118,1,A horse is used to tell time,j,0.7468,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.33347,,,,,,,,,,j,1,,0,27,27,45,1,The number five can go on forever,j,0.83977,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.376065,,,,,,,,,,j,1,,0,28,28,61,1,Sailboats reproduce,j,0.956455,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.38716,,,,,,,,,,j,0,,0,29,29,77,1,Saliva has a molecular structure,f,0.87956,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.59775,,,,,,,,,,j,1,,0,30,30,115,1,Yellow is an animal,j,0.73444,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.44815,,,,,,,,,,f,1,,0,31,31,102,1,The Earth is a planet,f,0.95661,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.42982,,,,,,,,,,f,1,,0,32,32,49,1,Pelicans are alive,f,0.80346,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.37703,,,,,,,,,,j,1,,0,33,33,58,1,Clocks are alive,j,0.73171,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.543125,,,,,,,,,,j,0,,0,34,34,57,1,Rocks have a molecular structure,f,0.913545,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.79153,,,,,,,,,,f,0,,0,35,35,124,1,The president of the United States is Oprah,j,0.86468,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.457105,,,,,,,,,,f,0,,0,36,36,32,1,Numbers are finite,j,0.89158,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.48876,,,,,,,,,,f,0,,0,37,37,36,1,Numbers cannot go on forever,j,1.127875,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.369625,,,,,,,,,,j,0,,0,38,38,56,1,Diamonds have a molecular structure,f,0.67942,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.586885,,,,,,,,,,j,1,,0,39,39,117,1,Dolphins cannot swim in the ocean,j,1.07891,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,1.13174,,,,,,,,,,f,1,space,0,40,40,31,1,Space can always be further divided,f,1.378265,1.88046,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.538095,,,,,,,,,,f,1,,0,41,41,10,1,An inch has an end,f,1.249285,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.58635,,,,,,,,,,j,1,,0,42,42,9,1,An inch is infinite,j,1.14574,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.42126,,,,,,,,,,f,1,,0,43,43,94,1,Orange is a color,f,0.978,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.639445,,,,,,,,,,f,0,,0,44,44,113,1,Magenta is a shape,j,0.68213,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.431055,,,,,,,,,,f,1,,0,45,45,0,1,A minute is finite,f,0.901315,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.59905,,,,,,,,,,f,1,,0,46,46,71,1,Oaks reproduce,f,0.84881,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.987955,,,,,,,,,,f,0,,0,47,47,112,1,Dinosaurs are not extinct,j,1.090915,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.49951,,,,,,,,,,f,1,,0,48,48,93,1,Magenta is a color,f,1.13192,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.425045,,,,,,,,,,f,0,,0,49,49,24,1,Space is finite,j,0.87936,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.365805,,,,,,,,,,j,1,,0,50,50,123,1,Mississippi is a country,j,0.94652,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.369555,,,,,,,,,,j,1,,0,51,51,3,1,A minute is endless,j,1.081505,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.345905,,,,,,,,,,j,1,,0,52,52,86,1,Words have a molecular structure,j,1.388285,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.32525,,,,,,,,,,j,1,,0,53,53,43,1,The number five is endless,j,1.09295,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.31121,,,,,,,,,,j,1,,0,54,54,1,1,A minute is infinite,j,0.87277,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.39061,,,,,,,,,,f,1,,0,55,55,89,1,A square is a shape,f,0.971275,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.228895,,,,,,,,,,f,1,,0,56,56,51,1,Tigers reproduce,f,0.67703,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.256795,,,,,,,,,,f,1,,0,57,57,70,1,Grass needs nutrients,f,1.07441,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.3949,,,,,,,,,,f,1,,0,58,58,92,1,Dinosaurs are extinct,f,1.066725,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.439975,,,,,,,,,,j,0,,0,59,59,39,1,Numbers can always be further divided,f,1.22911,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.27135,,,,,,,,,,f,0,,0,60,60,38,1,Numbers cannot always be further divided,j,1.55414,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.329355,,,,,,,,,,f,0,,0,61,61,65,1,Shadows are composed of matter,j,1.308665,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.29828,,,,,,,,,,j,1,,0,62,62,121,1,Jupiter is the planet we live on,j,1.11368,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.550865,,,,,,,,,,f,0,,0,63,63,34,1,Numbers have an end,j,0.91694,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.301495,,,,,,,,,,j,1,,0,64,64,63,1,Color can be put in a container,j,1.115025,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.3229,,,,,,,,,,j,1,,0,65,65,81,1,Tables reproduce,j,0.98066,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.266275,,,,,,,,,,f,1,,0,66,66,48,1,Crocodiles are alive,f,0.904545,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.84024,,,,,,,,,,j,0,,0,67,67,75,1,Frost is composed of matter,f,0.95359,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.34475,,,,,,,,,,j,1,,0,68,68,111,1,A circle is a flavor,j,0.92481,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.27045,,,,,,,,,,f,1,,0,69,69,107,1,A pencil is used to write,f,0.743375,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.7034,,,,,,,,,,j,1,,0,70,70,80,1,Mittens need nutrients,j,1.48422,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.65596,,,,,,,,,,j,1,,0,71,71,6,1,A minute cannot always be further divided,j,1.74663,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.750245,,,,,,,,,,f,0,,0,72,72,5,1,A minute can go on forever,j,1.06085,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.417645,,,,,,,,,,f,1,,0,73,73,40,1,The number five is finite,f,1.40884,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.524235,,,,,,,,,,j,1,,0,74,74,22,1,Time cannot always be further divided,j,1.606485,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.467725,,,,,,,,,,j,0,,0,75,75,7,1,A minute can always be further divided,f,0.880745,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.36629,,,,,,,,,,f,1,,0,76,76,69,1,Bacteria are alive,f,0.794305,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.68619,,,,,,,,,,f,0,,0,77,77,83,1,Songs can be put in a container,j,1.035485,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.596195,,,,,,,,,,j,0,,0,78,78,35,1,Numbers are endless,f,1.07198,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.488885,,,,,,,,,,j,1,,0,79,79,85,1,Thoughts are composed of matter,j,2.136125,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,space,0.329035,,,,,,,,,,f,1,,0,80,80,52,1,Frogs reproduce,f,0.92433,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,16.85985
